#Build cryostat walls as G4Polycone, input coordinate pairs (z,r). 
#To have TTree readfile working properly, pad short columns with -1 (because no R<0!!)
#Z_300K  Z_50K   Z_4K    Z_still RI_300K RI_50K  RI_4K   RI_still RO_300K RO_50K  RO_4K   RO_still[mm], w.r.t center of detector!!
#bottom
-220    -202.5   -185    -167.5  0       0       0       0        220     205     185     167.5
-217.5  -200     -182.5  -165    0       0       0       0        220     205     185     167.5
-217.5  -200     -182.5  -165    217.5   202.5   182.5   165      220     205     185     167.5
#top flange
 362.5   337.5    312.5   287.5  217.5   202.5   182.5   165      220     205     185     167.5
 362.5   337.5    312.5   287.5  217.5   202.5   182.5   165      230     215     195     177.5
 372.5   347.5    322.5   297.5  227.5   202.5   182.5   165      230     215     195     177.5
 372.5   347.5    322.5   297.5   65      50      35      20     230     215     195     177.5
 382.5   357.5    332.5   307.5   65      50      35      20     230     215     195     177.5
 382.5   357.5    332.5   307.5   65      50      35      20      77.5    62.5    47.5    32.5
 392.5   367.5    342.5   317.5   65      50      35      20      77.5    62.5    47.5    32.5
 392.5   367.5    342.5   317.5   65      50      35      20      67.5    52.5    37.5    22.5
#bottom flange of code head
 837.5   862.5    887.5   912.5   65      50      35      20      67.5    52.5    37.5    22.5
 837.5   862.5    887.5   912.5   65      50      35      20      77.5    62.5    47.5    32.5
 847.5   872.5    897.5   922.5   65      50      35      20      77.5    62.5    47.5    32.5
 847.5   872.5    897.5   922.5   65      50      35      20     230     215     195     177.5
 857.5   882.5    907.5   932.5   65      50      35      20     230     215     195     177.5
 857.5   882.5    907.5   932.5  227.5   202.5   182.5   165      230     215     195     177.5
 867.5   892.5    917.5   942.5  217.5   202.5   182.5   165      230     215     195     177.5
 867.5   892.5    917.5   942.5  217.5   202.5   182.5   165      220     205     185     167.5
#top plates
1387.5  1387.5   1387.5  1340    217.5   202.5   182.5   165      220     205     185     167.5
1387.5  1387.5   1387.5  1340    217.5   202.5   182.5   165      250     215     195     177.5
1397.5  1397.5   1397.5  1350    217.5   202.5   182.5   165      250     215     195     177.5
 



